Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,0.1,999,0.12361670849417775,False
1,0.2,199,1.518585458894011e-05,False
1,0.3,373,0.0,True
1,0.4,277,3.3147589265243225e-10,False
1,0.5,551,9.544582769403608e-23,True
1,0.6,211,1.8763296500170855e-15,True
1,0.7,335,2.1941871562568952e-18,True
1,0.8,432,1.2915518054910955e-18,True
1,0.9,999,3.7170188178699607e-16,True
1,1.0,999,3.149813057589238e-05,False
2,0.1,170,2.8140368700141867e-05,False
2,0.2,718,0.19533748506905826,False
2,0.3,338,0.0,True
2,0.4,399,3.4909163800521006e-10,False
2,0.5,494,0.0,True
2,0.6,204,6.778248826458438e-16,True
2,0.7,353,7.104001246069732e-16,True
2,0.8,458,4.4025125576594516e-16,True
2,0.9,999,4.8562212608804765e-17,True
2,1.0,999,8.150679883185192e-06,False
3,0.1,999,0.6782065343242613,False
3,0.2,999,5.019288231778423,False
3,0.3,169,1.917352025231487e-07,False
3,0.4,325,3.7358518014101195e-19,True
3,0.5,253,1.7036345179217704e-18,True
3,0.6,219,2.7706032317970578e-18,True
3,0.7,633,2.128981636985857e-23,True
3,0.8,418,5.975997588615212e-17,True
3,0.9,999,2.7070978914512256e-17,True
3,1.0,999,0.0007716540314973704,False
4,0.1,506,3.500123597785496e-05,False
4,0.2,178,2.5558305658319268e-05,False
4,0.3,868,0.015322423116445353,False
4,0.4,545,0.0,True
4,0.5,238,2.1317022743864344e-17,True
4,0.6,286,9.180367586427025e-19,True
4,0.7,340,6.532256807206297e-21,True
4,0.8,382,1.3295143351240452e-17,True
4,0.9,999,5.57549024730339e-19,True
4,1.0,999,0.0005950615163150462,False
5,0.1,999,0.29931717256119034,False
5,0.2,219,0.0019044811702408893,False
5,0.3,660,0.0057397669836656935,False
5,0.4,338,2.2063826458354037e-14,True
5,0.5,212,4.3232477134571784e-18,True
5,0.6,383,4.054260119773697e-21,True
5,0.7,350,6.729771883456347e-20,True
5,0.8,441,2.771274385120529e-19,True
5,0.9,999,6.659543443655204e-16,True
5,1.0,999,7.477200414489561e-06,False
6,0.1,180,5.280900704022867e-16,True
6,0.2,504,0.10906703825108365,False
6,0.3,138,5.496917718590775e-16,True
6,0.4,931,7.532398614488052e-11,True
