id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401426586,North Texas,47,Louisiana Tech,27,teamrankings,68,-6.5,North Texas -6.5,,,,
401409235,New Mexico State,12,Nevada,23,Bovada,48.0,7.5,Nevada -7.5,14.0,55.5,270,-340
401409235,New Mexico State,12,Nevada,23,William Hill (New Jersey),48,7,Nevada -7,,,,
401409235,New Mexico State,12,Nevada,23,consensus,48,7,Nevada -7,,,,
401409235,New Mexico State,12,Nevada,23,teamrankings,48,7,Nevada -7,,,,
401405124,Nebraska,9,Illinois,26,Bovada,51.0,7.5,Illinois -7.5,6.0,51.5,230,-280
401405124,Nebraska,9,Illinois,26,William Hill (New Jersey),50.5,7.5,Illinois -7.5,,,,
401405124,Nebraska,9,Illinois,26,consensus,50.5,7.5,Illinois -7.5,,,,
401405124,Nebraska,9,Illinois,26,teamrankings,50.5,7.5,Illinois -7.5,,,,
401405142,Nebraska,14,Wisconsin,15,Bovada,40.5,10.0,Wisconsin -10.0,13.0,41.0,300,-400
401405142,Nebraska,14,Wisconsin,15,William Hill (New Jersey),40.5,10,Wisconsin -10,,,,
401405142,Nebraska,14,Wisconsin,15,consensus,40.5,10,Wisconsin -10,,,,
401405142,Nebraska,14,Wisconsin,15,teamrankings,40.5,10,Wisconsin -10,,,,
401415265,Utah State,35,San José State,31,Bovada,51.0,-1.5,Utah State -1.5,3.0,51.5,-120,-160
401415265,Utah State,35,San José State,31,William Hill (New Jersey),51,-1,Utah State -1,,,,
401415265,Utah State,35,San José State,31,consensus,51,-1,Utah State -1,,,,
401415265,Utah State,35,San José State,31,teamrankings,51,-1,Utah State -1,,,,
401422922,Mercer,63,Morehead State,13,Bovada,58.0,-27.5,Mercer -27.5,-28.5,60.5,,
401422922,Mercer,63,Morehead State,13,William Hill (New Jersey),56.5,-29.5,Mercer -29.5,,,,
401422922,Mercer,63,Morehead State,13,consensus,56.5,-29.5,Mercer -29.5,,,,
401426535,Charlotte,24,William & Mary,41,Bovada,52.0,-4.5,Charlotte -4.5,-2.5,52.0,-185,160
