Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,10,999,29.897082634557,False
1,20,999,0.013296899131444766,False
1,30,293,6.375456902111334e-18,True
1,40,251,9.337031313258965e-19,True
1,50,184,3.8055952540344723e-19,True
1,60,215,3.178040134004534e-18,True
1,70,429,0.0,True
1,80,563,0.0,True
1,90,279,0.0,True
1,100,203,1.3041429872926785e-24,True
2,10,999,7.383819583658256,False
2,20,999,2.5695853151007526e-10,False
2,30,306,3.8650495713447615e-13,True
2,40,296,5.947847422159294e-15,True
2,50,240,2.1502717432620982e-21,True
2,60,247,2.390948641699803e-21,True
2,70,177,1.1600643345534165e-26,True
2,80,545,0.0,True
2,90,368,0.0,True
2,100,414,0.0,True
3,10,853,6.551877742343276e-06,False
3,20,347,1.4513196921696803e-11,True
3,30,423,4.869571207642576e-11,True
3,40,183,9.016284399599034e-13,True
3,50,275,1.103629865169448e-16,True
3,60,260,3.2847556726201385e-25,True
3,70,233,1.6551565201580346e-25,True
3,80,240,4.930380657631324e-29,True
3,90,303,4.930380657631324e-32,True
3,100,214,2.2739586124765103e-25,True
4,10,528,7.386046207711021e-06,False
4,20,336,5.5187077184882827e-11,True
4,30,186,1.2253216363938991e-16,True
4,40,524,9.659848152004455e-16,True
4,50,487,0.0,True
4,60,170,8.155884571560343e-19,True
4,70,327,7.725413452442521e-28,True
4,80,395,7.099748146989106e-30,True
4,90,377,0.0,True
4,100,212,2.2255738288547796e-28,True
5,10,999,2.9220620722905437,False
5,20,461,4.773311353104085e-14,True
5,30,387,1.7034034840666856e-16,True
5,40,250,1.9513873186532955e-12,True
5,50,217,1.0299918631786044e-15,True
5,60,207,7.434672143478999e-20,True
5,70,176,8.97475492069873e-21,True
5,80,213,1.8311265377321504e-20,True
5,90,250,7.249089377108759e-27,True
5,100,368,0.0,True
6,10,999,0.00047712150613907065,False
6,20,648,3.64075753355254e-09,False
6,30,286,2.222045698174137e-20,True
6,40,617,1.7818515167568732e-17,True
6,50,320,2.6941887492086596e-21,True
6,60,382,3.256156950838799e-19,True
6,70,669,0.0,True
6,80,351,0.0,True
6,90,317,1.464446314832944e-28,True
6,100,309,0.0,True
7,10,999,0.5374231027448618,False
7,20,276,8.860100393226001e-09,False
7,30,199,3.281907432126501e-14,True
7,40,277,5.246908394707007e-16,True
7,50,277,2.5299493503356455e-24,True
7,60,345,1.1093356479670479e-29,True
7,70,312,1.6773624492759886e-24,True
7,80,296,1.2204190963357446e-25,True
7,90,316,3.616557471889017e-28,True
7,100,311,0.0,True
8,10,999,0.10863484861448759,False
8,20,358,1.8495595335766017e-09,False
8,30,264,2.1916189320563625e-12,True
8,40,452,4.1301998626995863e-17,True
8,50,448,0.0,True
8,60,231,5.63650374902533e-21,True
8,70,156,2.2755766057594234e-20,True
8,80,237,5.941988765393132e-24,True
8,90,453,0.0,True
8,100,271,0.0,True
9,10,999,0.05493343712224081,False
9,20,621,1.4954209697300337e-09,False
9,30,505,1.018048965883975e-09,False
9,40,257,3.08145720638686e-17,True
9,50,281,1.1569754510714105e-25,True
9,60,221,3.558967097263129e-19,True
9,70,243,4.024585958726696e-23,True
9,80,302,2.563839616010797e-24,True
9,90,257,0.0,True
9,100,247,1.4870028063416073e-28,True
10,10,999,7.632469190774583,False
10,20,355,5.534808779865513e-10,False
10,30,371,1.2120021827064733e-16,True
10,40,256,1.6553418404909956e-18,True
10,50,224,1.417496200783421e-15,True
10,60,296,8.158572784301111e-20,True
10,70,202,8.157608451522994e-24,True
10,80,247,1.2414942036998638e-22,True
10,90,209,9.966865079167137e-25,True
10,100,350,0.0,True
11,10,609,6.0508214769052054e-05,False
11,20,999,0.04784370216888171,False
11,30,270,2.0144341812663102e-19,True
11,40,273,1.1783189311553682e-15,True
11,50,160,2.1096514953335894e-17,True
11,60,211,3.7874520792179186e-20,True
11,70,423,0.0,True
11,80,175,1.9884788599150828e-23,True
11,90,242,7.888609052210118e-31,True
11,100,421,0.0,True
12,10,999,0.20380359207280913,False
12,20,385,1.0619490380736216e-09,False
12,30,550,3.677043326275328e-19,True
12,40,377,1.1176987086666366e-14,True
12,50,238,3.1177265170019587e-22,True
12,60,359,2.642375571026823e-18,True
12,70,321,4.930380657631324e-32,True
12,80,393,0.0,True
12,90,284,0.0,True
12,100,216,1.597443333072549e-29,True
13,10,999,44.53701656938782,False
13,20,432,1.2126462188539258e-11,True
13,30,555,2.3362064276906385e-10,False
13,40,343,9.432609186564267e-14,True
13,50,671,7.309585147777895e-27,True
13,60,245,5.626442352266374e-23,True
13,70,336,0.0,True
13,80,497,0.0,True
13,90,255,0.0,True
13,100,189,2.9702157587530306e-21,True
14,10,999,29.395197101689956,False
14,20,999,0.7138719226794891,False
14,30,361,7.67164358873739e-23,True
14,40,320,3.75551440626345e-21,True
14,50,187,1.5561537539919044e-18,True
14,60,390,0.0,True
14,70,372,0.0,True
14,80,153,2.3966553299828145e-17,True
14,90,388,0.0,True
14,100,209,3.219261777863135e-24,True
15,10,699,2.314122572813955e-06,False
15,20,509,3.522490445571147e-14,True
15,30,211,2.325109350765304e-19,True
