NAME,RTG,BYE,GP,FPTS,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"New Orleans Saints",83,14,7,41,128,2410,444,16,4,2,4,2,0
"Arizona Cardinals",73,13,8,37,138,2552,489,19,13,9,7,2,0
"Denver Broncos",87,9,8,36,137,2606,480,20,3,2,6,1,0
"Buffalo Bills",77,7,7,31,109,1883,411,15,7,7,3,1,0
"Carolina Panthers",80,13,8,29,159,2365,470,21,6,2,8,1,0
"New England Patriots",82,10,8,27,164,2823,513,18,3,3,6,3,0
"Dallas Cowboys",67,9,7,27,162,2565,422,12,4,4,5,9,0
"Chicago Bears",82,14,8,27,195,2860,491,21,5,5,8,3,0
"Indianapolis Colts",77,14,8,24,183,2819,492,17,9,10,4,3,0
"Cincinnati Bengals",63,10,8,23,162,2890,541,21,6,2,9,2,0
"Cleveland Browns",86,9,8,22,180,2439,479,22,4,2,3,2,0
"Tampa Bay Buccaneers",90,11,8,21,183,2686,498,17,6,5,5,2,0
"Minnesota Vikings",84,7,7,20,157,2569,453,24,6,5,2,4,0
"Miami Dolphins",86,11,8,19,233,3255,544,11,9,7,7,6,0
"Philadelphia Eagles",72,7,8,19,191,2753,530,17,6,2,4,5,0
"Los Angeles Rams",90,7,8,19,168,2940,538,25,7,2,5,1,0
"San Francisco 49ers",83,9,7,18,171,2268,439,16,9,3,5,2,0
"Pittsburgh Steelers",86,9,7,18,142,2420,437,19,10,5,4,1,0
"Los Angeles Chargers",76,8,7,17,177,2538,452,14,10,4,6,2,0
"Houston Texans",60,6,8,15,241,3211,511,15,8,2,8,2,0
"Jacksonville Jaguars",70,11,7,14,203,2702,442,11,1,0,9,3,2
"New York Giants",79,9,8,12,200,2949,538,18,5,6,7,1,0
"Kansas City Chiefs",80,8,8,12,220,3132,487,11,7,2,10,4,0
"New York Jets",72,10,7,11,206,2733,480,17,6,4,13,2,0
"Baltimore Ravens",88,10,7,10,164,2676,427,15,3,2,5,1,0
"Seattle Seahawks",70,11,8,10,169,3212,579,13,3,5,2,1,1
"Green Bay Packers",79,14,8,9,167,2654,486,19,5,6,3,2,0
"Detroit Lions",74,6,8,7,244,3031,485,14,4,3,6,0,0
"Atlanta Falcons",65,14,7,6,195,2508,447,10,6,3,6,2,0
"Tennessee Titans",68,6,8,5,195,2945,515,18,9,4,7,3,0
"Washington Commanders",93,14,8,4,227,3115,527,19,7,4,9,4,1
"Las Vegas Raiders",69,6,7,0,166,2478,481,18,6,6,5,0,0
