NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
RHAMONDRE STEVENSON,RB,NE,72.0,LAC,0.2407407407407618,away,4600,4.0
ROB GRONKOWSKI,TE,TB,86.0,NO,-2.4259259259259096,away,4600,0.0
TRAVIS HOMER,RB,SEA,69.0,JAX,3.2037037037037237,home,4600,8.2
ODELL BECKHAM,WR,LAR,74.0,HOU,2.314814814814838,home,4600,1.6
BRANDON BOLDEN,RB,NE,73.0,LAC,0.2407407407407618,away,4500,2.6
TYLER HIGBEE,TE,LAR,82.0,HOU,2.314814814814838,away,4500,5.5
KENDRICK BOURNE,WR,NE,78.0,LAC,0.2407407407407618,away,4500,6.8
NYHEIM HINES,RB,IND,73.0,TEN,0.2407407407407618,home,4500,6.4
DEMETRIC FELTON,RB,CLE,70.0,PIT,-0.9444444444444287,home,4500,2.7
TY JOHNSON,RB,NYJ,73.0,CIN,-2.4259259259259096,home,4400,19.6
DAVID BLOUGH,QB,DET,71.0,PHI,1.4259259259259522,home,4400,0.6
ZACH ERTZ,TE,ARI,82.0,GB,-1.5370370370370239,home,4400,8.2
LARRY ROUNTREE,RB,LAC,67.0,NE,-1.2407407407407192,home,4400,1.1
BOSTON SCOTT,RB,PHI,67.0,DET,2.314814814814838,away,4400,18.0
ZACH PASCAL,WR,IND,75.0,TEN,0.2407407407407618,home,4400,9.3
JAMYCAL HASTY,RB,SF,74.0,CHI,-0.9444444444444287,away,4300,5.3
RUSSELL GAGE,WR,ATL,75.0,CAR,-2.7222222222222,home,4200,0.0
DAVID JOHNSON,RB,HOU,71.0,LAR,-0.35185185185183343,home,4200,1.3
JEREMY MCNICHOLS,RB,TEN,71.0,IND,-0.6481481481481239,away,4200,6.3
BRANDON AIYUK,WR,SF,70.0,CHI,-0.9444444444444287,away,4200,10.5
AJ DILLON,RB,GB,69.0,ARI,-3.9074074074073906,away,4200,7.8
KYLE JUSZCZYK,FB,SF,72.0,CHI,-0.9444444444444287,away,4200,2.1
HUNTER HENRY,TE,NE,85.0,LAC,0.2407407407407618,away,4200,4.3
CARLOS HYDE,RB,JAX,71.0,SEA,2.0185185185185333,away,4100,13.2
RONALD JONES,RB,TB,70.0,NO,-2.4259259259259096,away,4100,2.9
MARK INGRAM,RB,NO,71.0,TB,-1.5370370370370239,home,4100,7.2
JOHN WOLFORD,QB,LAR,71.0,HOU,2.314814814814838,away,4100,0.2
JALEN REAGOR,WR,PHI,73.0,DET,2.314814814814838,away,4100,3.1
ALEX ARMAH,FB,WAS,65.0,DEN,-2.4259259259259096,home,4000,7.1
CJ HAM,FB,MIN,72.0,DAL,1.1296296296296475,home,4000,3.3
JAKOB JOHNSON,FB,NE,68.0,LAC,0.2407407407407618,away,4000,1.2
NELSON AGHOLOR,WR,NE,75.0,LAC,0.2407407407407618,away,4000,9.0
MICHAEL BURTON,FB,KC,67.0,NYG,1.1296296296296475,home,4000,0.0
KEITH SMITH,FB,ATL,72.0,CAR,-2.7222222222222,home,4000,0.0
FELEIPE FRANKS,TE,ATL,65.0,CAR,-2.7222222222222,home,4000,0.0
RONDALE MOORE,WR,ARI,77.0,GB,-1.5370370370370239,home,4000,4.5
QUEZ WATKINS,WR,PHI,75.0,DET,2.314814814814838,away,4000,3.8
REGGIE GILLIAM,FB,BUF,66.0,MIA,3.2037037037037237,home,4000,0.0
KALEN BALLAGE,RB,PIT,67.0,CLE,-1.5370370370370239,away,4000,-0.3
RASHAAD PENNY,RB,SEA,66.0,JAX,3.2037037037037237,home,4000,0.7
PATRICK LAIRD,RB,MIA,67.0,BUF,-4.796296296296276,away,4000,2.0
COREY CLEMENT,RB,DAL,67.0,MIN,-0.055555555555542924,away,4000,0.0
JONATHAN WARD,RB,ARI,65.0,GB,-1.5370370370370239,home,4000,0.0
KYLIN HILL,RB,GB,67.0,ARI,-3.9074074074073906,away,4000,0.0
JOHN KELLY,RB,CLE,66.0,PIT,-0.9444444444444287,home,4000,0.0
TAIWAN JONES,RB,BUF,67.0,MIA,3.2037037037037237,home,4000,0.0
BENNY SNELL,RB,PIT,67.0,CLE,-1.5370370370370239,away,4000,1.7
CAM AKERS,RB,LAR,67.0,HOU,2.314814814814838,away,4000,0.0
BUDDY HOWELL,RB,LAR,67.0,HOU,2.314814814814838,away,4000,1.1
PHILLIP LINDSAY,RB,HOU,67.0,LAR,-0.35185185185183343,home,4000,0.8
GARY BRIGHTWELL,RB,NYG,65.0,KC,2.907407407407433,away,4000,0.0
WAYNE GALLMAN,RB,ATL,67.0,CAR,-2.7222222222222,home,4000,0.0
RYAN NALL,RB,CHI,67.0,SF,-0.9444444444444287,home,4000,0.4
LA'MICAL PERINE,RB,NYJ,67.0,CIN,-2.4259259259259096,home,4000,0.3
ANTHONY MCFARLAND,RB,PIT,67.0,CLE,-1.5370370370370239,away,4000,0.1
DARWIN THOMPSON,RB,TB,67.0,NO,-2.4259259259259096,away,4000,0.0
DEREK WATT,RB,PIT,67.0,CLE,-1.5370370370370239,away,4000,0.0
JOHNNY STANTON,RB,CLE,67.0,PIT,-0.9444444444444287,home,4000,0.0
MARLON MACK,RB,IND,67.0,TEN,0.2407407407407618,home,4000,0.0
MIKE BOONE,RB,DEN,66.0,WAS,3.2037037037037237,home,4000,0.0
CULLEN GILLASPIA,RB,NYG,67.0,KC,2.907407407407433,away,4000,0.0
JERICK MCKINNON,RB,KC,67.0,NYG,1.1296296296296475,home,4000,0.0
TRENTON CANNON,RB,SF,67.0,CHI,-0.9444444444444287,away,4000,0.0
NICK BELLORE,RB,SEA,67.0,JAX,3.2037037037037237,home,4000,0.0
TRAYVEON WILLIAMS,RB,CIN,66.0,NYJ,2.314814814814838,away,4000,0.0
JARET PATTERSON,RB,WAS,66.0,DEN,-2.4259259259259096,away,4000,4.6
JORDAN HOWARD,RB,PHI,67.0,DET,2.314814814814838,away,4000,17.7
REX BURKHEAD,RB,HOU,67.0,LAR,-0.35185185185183343,home,4000,13.8
JERMAR JEFFERSON,RB,DET,67.0,PHI,1.4259259259259522,home,4000,12.9
DERRICK GORE,RB,KC,66.0,NYG,1.1296296296296475,home,4000,10.8
GIOVANI BERNARD,RB,TB,67.0,NO,-2.4259259259259096,away,4000,10.7
AMEER ABDULLAH,RB,CAR,66.0,ATL,2.0185185185185333,away,4000,9.6
GODWIN IGWEBUIKE,RB,DET,67.0,PHI,1.4259259259259522,home,4000,8.8
JUSTIN JACKSON,RB,LAC,67.0,NE,-1.2407407407407192,home,4000,7.9
SONY MICHEL,RB,LAR,67.0,HOU,2.314814814814838,away,4000,7.6
CEDRICK WILSON,WR,DAL,74.0,MIN,-0.055555555555542924,away,4000,18.8
SCOTTIE PHILLIPS,RB,HOU,67.0,LAR,-0.35185185185183343,home,4000,4.0
COOPER RUSH,QB,DAL,70.0,MIN,-0.055555555555542924,away,4000,22.2
SALVON AHMED,RB,MIA,69.0,BUF,-4.796296296296276,away,4000,3.8
LOGAN WOODSIDE,QB,TEN,70.0,IND,-0.6481481481481239,away,4000,-0.1
DARE OGUNBOWALE,RB,JAX,66.0,SEA,2.0185185185185333,away,4000,2.8
PJ WALKER,QB,CAR,68.0,ATL,2.0185185185185333,away,4000,-0.1
ELIJHAA PENNY,RB,NYG,67.0,KC,2.907407407407433,away,4000,2.6
GARDNER MINSHEW,QB,PHI,70.0,DET,2.314814814814838,away,4000,0.44
ROYCE FREEMAN,RB,CAR,67.0,ATL,2.0185185185185333,away,4000,2.5
JOSH JOHNSON,QB,NYJ,70.0,CIN,-2.4259259259259096,home,4000,0.68
TREVOR SIEMIAN,QB,NO,70.0,TB,-1.5370370370370239,home,4000,10.56
EVAN ENGRAM,TE,NYG,78.0,KC,2.907407407407433,away,3900,10.5
TRE'QUAN SMITH,WR,NO,67.0,TB,-1.5370370370370239,home,3900,12.3
AMONRA ST BROWN,WR,DET,73.0,PHI,1.4259259259259522,home,3900,7.6
VAN JEFFERSON,WR,LAR,77.0,HOU,2.314814814814838,away,3900,11.8
MECOLE HARDMAN,WR,KC,76.0,NYG,1.1296296296296475,home,3900,11.3
ELIJAH MOORE,WR,NYJ,71.0,CIN,-2.4259259259259096,home,3900,13.1
ROBERT TONYAN,TE,GB,76.0,ARI,-3.9074074074073906,away,3800,7.9
KJ OSBORN,WR,MIN,79.0,DAL,1.1296296296296475,home,3800,3.0
JAMES WASHINGTON,WR,PIT,69.0,CLE,-1.5370370370370239,away,3800,1.4
RICKY SEALSJONES,TE,WAS,73.0,DEN,-2.4259259259259096,away,3800,3.2
CJ UZOMAH,TE,CIN,84.0,NYJ,2.314814814814838,away,3700,7.3
BYRON PRINGLE,WR,KC,69.0,NYG,1.1296296296296475,home,3700,2.2
JAMAL AGNEW,WR,JAX,73.0,SEA,2.0185185185185333,away,3700,15.8
DEONTE HARRIS,WR,NO,76.0,TB,-1.5370370370370239,home,3600,8.7
PAT FREIERMUTH,TE,PIT,77.0,CLE,-1.5370370370370239,away,3600,14.4
JUWAN JOHNSON,TE,NO,75.0,TB,-1.5370370370370239,home,3500,0.0
RANDALL COBB,WR,GB,69.0,ARI,-3.9074074074073906,away,3500,16.5
DANTE PETTIS,WR,NYG,80.0,KC,2.907407407407433,away,3500,0.0
JARED COOK,TE,LAC,73.0,NE,-1.2407407407407192,home,3400,4.5
OLAMIDE ZACCHEAUS,WR,ATL,70.0,CAR,-2.7222222222222,home,3400,2.2
ADAM HUMPHRIES,WR,WAS,69.0,DEN,-2.4259259259259096,away,3400,5.5
RAYRAY MCCLOUD,WR,PIT,67.0,CLE,-1.5370370370370239,away,3300,1.0
GABRIEL DAVIS,WR,BUF,69.0,MIA,3.2037037037037237,home,3300,12.9
KENDALL HINTON,WR,DEN,70.0,WAS,3.2037037037037237,home,3300,0.0
TAJAE SHARPE,WR,ATL,69.0,CAR,-2.7222222222222,home,3300,10.8
GERALD EVERETT,TE,SEA,77.0,JAX,3.2037037037037237,home,3300,1.2
CHESTER ROGERS,WR,TEN,69.0,IND,-0.6481481481481239,away,3200,0.0
FREDDIE SWAIN,WR,SEA,73.0,JAX,3.2037037037037237,home,3200,0.0
NICO COLLINS,WR,HOU,71.0,LAR,-0.35185185185183343,home,3200,9.5
TYLER CONKLIN,TE,MIN,81.0,DAL,1.1296296296296475,home,3200,10.7
JOHN ROSS,WR,NYG,72.0,KC,2.907407407407433,away,3200,9.2
MO ALIECOX,TE,IND,79.0,TEN,0.2407407407407618,home,3200,0.0
JALEN GUYTON,WR,LAC,70.0,NE,-1.2407407407407192,home,3200,2.8
KENNY STILLS,WR,NO,69.0,TB,-1.5370370370370239,home,3200,0.0
MOHAMED SANU,WR,SF,69.0,CHI,-0.9444444444444287,away,3100,8.9
TYLER JOHNSON,WR,TB,69.0,NO,-2.4259259259259096,away,3100,11.5
AUSTIN HOOPER,TE,CLE,74.0,PIT,-0.9444444444444287,home,3100,6.6
NICK WESTBROOK,WR,TEN,69.0,IND,-0.6481481481481239,away,3100,9.6
COLE KMET,TE,CHI,74.0,SF,-0.9444444444444287,home,3100,5.4
TAVON AUSTIN,WR,JAX,69.0,SEA,2.0185185185185333,away,3100,1.5
RASHARD HIGGINS,WR,CLE,69.0,PIT,-0.9444444444444287,home,3100,4.7
TUTU ATWELL,WR,LAR,65.0,HOU,2.314814814814838,away,3000,0.0
ANTHONY SCHWARTZ,WR,CLE,68.0,PIT,-0.9444444444444287,home,3000,0.0
CHRIS CONLEY,WR,HOU,69.0,LAR,-0.35185185185183343,home,3000,3.4
JAKEEM GRANT,WR,CHI,65.0,SF,-0.9444444444444287,home,3000,0.0
ASHTON DULIN,WR,IND,67.0,TEN,0.2407407407407618,home,3000,0.0
ISAIAH FORD,WR,MIA,65.0,BUF,-4.796296296296276,away,3000,0.0
KEITH KIRKWOOD,WR,CAR,70.0,ATL,2.0185185185185333,away,3000,0.0
JOSH REYNOLDS,WR,DET,70.0,PHI,1.4259259259259522,away,3000,0.0
ISAIAH MCKENZIE,WR,BUF,66.0,MIA,3.2037037037037237,home,3000,0.0
JOSH PALMER,WR,LAC,65.0,NE,-1.2407407407407192,home,3000,9.4
BEN SKOWRONEK,WR,LAR,65.0,HOU,2.314814814814838,away,3000,6.0
JUWANN WINFREE,WR,GB,65.0,ARI,-3.9074074074073906,away,3000,7.0
EQUANIMEOUS ST BROWN,WR,GB,65.0,ARI,-3.9074074074073906,away,3000,3.2
DAVID NJOKU,TE,CLE,79.0,PIT,-0.9444444444444287,home,3000,6.9
BRAXTON BERRIOS,WR,NYJ,71.0,CIN,-2.4259259259259096,home,3000,9.3
KEELAN COLE,WR,NYJ,71.0,CIN,-2.4259259259259096,home,3000,5.5
OJ HOWARD,TE,TB,72.0,NO,-2.4259259259259096,away,3000,3.6
CAMERON BRATE,TE,TB,65.0,NO,-2.4259259259259096,away,3000,3.5
DEANDRE CARTER,WR,WAS,69.0,DEN,-2.4259259259259096,away,3000,14.1
JJ ARCEGAWHITESIDE,WR,PHI,65.0,DET,2.314814814814838,away,3000,0.0
MATTHEW SLATER,WR,NE,65.0,LAC,0.2407407407407618,away,3000,0.0
CYRIL GRAYSON,WR,TB,65.0,NO,-2.4259259259259096,away,3000,12.0
CODY WHITE,WR,PIT,66.0,CLE,-1.5370370370370239,away,3000,0.0
MARCUS JOHNSON,WR,TEN,65.0,IND,-0.6481481481481239,away,3000,1.8
ALEX ERICKSON,WR,CAR,66.0,ATL,2.0185185185185333,away,3000,0.0
DENZEL MIMS,WR,NYJ,68.0,CIN,-2.4259259259259096,home,3000,5.0
GUNNER OLSZEWSKI,WR,NE,65.0,LAC,0.2407407407407618,away,3000,0.0
TOM KENNEDY,WR,DET,66.0,PHI,1.4259259259259522,home,3000,0.0
AMARI RODGERS,WR,GB,66.0,ARI,-3.9074074074073906,away,3000,2.8
KEVIN WHITE,WR,NO,65.0,TB,-1.5370370370370239,home,3000,4.8
TYRON JOHNSON,WR,JAX,65.0,SEA,2.0185185185185333,away,3000,2.0
JAUAN JENNINGS,WR,SF,68.0,CHI,-0.9444444444444287,away,3000,0.0
MACK HOLLINS,WR,MIA,68.0,BUF,-4.796296296296276,away,3000,0.0
DAMIERE BYRD,WR,CHI,66.0,SF,-0.9444444444444287,home,3000,0.0
JAELON DARDEN,WR,TB,66.0,NO,-2.4259259259259096,away,3000,4.1
JAKE KUMEROW,WR,BUF,65.0,MIA,3.2037037037037237,home,3000,0.0
TYRIE CLEVELAND,WR,DEN,65.0,WAS,3.2037037037037237,home,3000,0.0
MARCUS KEMP,WR,KC,65.0,NYG,1.1296296296296475,home,3000,0.0
DANNY AMENDOLA,WR,HOU,65.0,LAR,-0.35185185185183343,home,3000,2.3
SHI SMITH,WR,CAR,67.0,ATL,2.0185185185185333,away,3000,0.8
TY MONTGOMERY,WR,NO,67.0,TB,-1.5370370370370239,home,3000,1.4
IHMIR SMITHMARSETTE,WR,MIN,65.0,DAL,1.1296296296296475,home,3000,1.6
ANTOINE WESLEY,WR,ARI,65.0,GB,-1.5370370370370239,home,3000,1.7
MALIK TURNER,WR,DAL,65.0,MIN,-0.055555555555542924,away,3000,0.0
NOAH BROWN,WR,DAL,68.0,MIN,-0.055555555555542924,away,3000,1.7
DEMARCUS ROBINSON,WR,KC,65.0,NYG,1.1296296296296475,home,3000,2.8
PENNY HART,WR,SEA,65.0,JAX,3.2037037037037237,home,3000,0.0
JOSH GORDON,WR,KC,65.0,NYG,1.1296296296296475,home,3000,0.0
CHRISTIAN BLAKE,WR,ATL,65.0,CAR,-2.7222222222222,home,3000,0.0
ANDRE ROBERTS,WR,LAC,65.0,NE,-1.2407407407407192,home,3000,0.0
KHADAREL HODGE,WR,DET,67.0,PHI,1.4259259259259522,home,3000,0.0
MARQUISE GOODWIN,WR,CHI,68.0,SF,-0.9444444444444287,home,3000,5.2
STANLEY MORGAN,WR,CIN,65.0,NYJ,2.314814814814838,away,3000,0.0
MIKE THOMAS,WR,CIN,66.0,NYJ,2.314814814814838,away,3000,0.0
TRINITY BENSON,WR,DET,68.0,PHI,1.4259259259259522,home,3000,0.0
GREG WARD,WR,PHI,68.0,DET,2.314814814814838,away,3000,0.0
COLLIN JOHNSON,WR,NYG,69.0,KC,2.907407407407433,away,3000,3.0
MALIK TAYLOR,WR,GB,66.0,ARI,-3.9074074074073906,away,3000,0.0
JEFF SMITH,WR,NYJ,68.0,CIN,-2.4259259259259096,home,3000,1.9
TRENT SHERFIELD,WR,SF,68.0,CHI,-0.9444444444444287,away,3000,0.0
N'KEAL HARRY,WR,NE,65.0,LAC,0.2407407407407618,away,3000,5.0
DAX MILNE,WR,WAS,66.0,DEN,-2.4259259259259096,away,3000,3.2
CHRIS MOORE,WR,HOU,74.0,LAR,-0.35185185185183343,home,3000,3.6
CAM SIMS,WR,WAS,67.0,DEN,-2.4259259259259096,away,3000,3.0
ALBERT WILSON,WR,MIA,65.0,BUF,-4.796296296296276,away,3000,0.0
ANTONIO GANDYGOLDEN,WR,WAS,65.0,DEN,-2.4259259259259096,away,3000,0.0
TOMMY SWEENEY,TE,BUF,68.0,MIA,3.2037037037037237,home,2900,6.0
CHRIS HERNDON,TE,MIN,65.0,DAL,1.1296296296296475,home,2900,1.7
IAN THOMAS,TE,CAR,71.0,ATL,2.0185185185185333,away,2900,2.0
HAYDEN HURST,TE,ATL,76.0,CAR,-2.7222222222222,home,2900,2.4
BLAKE JARWIN,TE,DAL,65.0,MIN,-0.055555555555542924,away,2900,0.0
ROSS DWELLEY,TE,SF,69.0,CHI,-0.9444444444444287,away,2800,0.0
JONNU SMITH,TE,NE,76.0,LAC,0.2407407407407618,away,2800,3.3
DAN ARNOLD,TE,JAX,65.0,SEA,2.0185185185185333,away,2800,14.8
ADAM TRAUTMAN,TE,NO,70.0,TB,-1.5370370370370239,home,2700,2.4
ANTHONY FIRKSER,TE,TEN,65.0,IND,-0.6481481481481239,away,2700,1.8
TOMMY TREMBLE,TE,CAR,71.0,ATL,2.0185185185185333,away,2600,4.8
JACK DOYLE,TE,IND,65.0,TEN,0.2407407407407618,home,2600,9.2
DONALD PARHAM,TE,LAC,74.0,NE,-1.2407407407407192,home,2600,0.0
KADEN SMITH,TE,NYG,65.0,KC,2.907407407407433,away,2500,0.0
TYLER DAVIS,TE,GB,65.0,ARI,-3.9074074074073906,away,2500,0.0
JP HOLTZ,TE,CHI,65.0,SF,-0.9444444444444287,home,2500,0.0
DOMINIQUE DAFNEY,TE,GB,65.0,ARI,-3.9074074074073906,away,2500,0.0
NOAH GRAY,TE,KC,66.0,NYG,1.1296296296296475,home,2500,0.0
WILL DISSLY,TE,SEA,72.0,JAX,3.2037037037037237,home,2500,0.0
ERIC SAUBERT,TE,DEN,67.0,WAS,3.2037037037037237,home,2500,0.0
COLBY PARKINSON,TE,SEA,65.0,JAX,3.2037037037037237,home,2500,0.0
BLAKE BELL,TE,KC,67.0,NYG,1.1296296296296475,home,2500,0.0
DEON YELDER,TE,TB,65.0,NO,-2.4259259259259096,away,2500,0.0
DARRELL DANIELS,TE,ARI,65.0,GB,-1.5370370370370239,home,2500,0.0
COLIN THOMPSON,TE,CAR,65.0,ATL,2.0185185185185333,away,2500,0.0
STEPHEN ANDERSON,TE,LAC,65.0,NE,-1.2407407407407192,home,2500,0.0
JESPER HORSTED,TE,CHI,69.0,SF,-0.9444444444444287,home,2500,0.0
DANIEL BROWN,TE,NYJ,65.0,CIN,-2.4259259259259096,home,2500,0.0
JORDAN MATTHEWS,TE,SF,65.0,CHI,-0.9444444444444287,away,2500,0.0
KAHALE WARRING,TE,JAX,65.0,SEA,2.0185185185185333,away,2500,0.0
DURHAM SMYTHE,TE,MIA,72.0,BUF,-4.796296296296276,away,2500,0.0
LEE SMITH,TE,ATL,65.0,CAR,-2.7222222222222,home,2500,0.0
JACK STOLL,TE,PHI,65.0,DET,2.314814814814838,away,2500,1.9
DREW SAMPLE,TE,CIN,65.0,NYJ,2.314814814814838,away,2500,0.0
DEMETRIUS HARRIS,TE,ARI,65.0,GB,-1.5370370370370239,home,2500,0.0
BREVIN JORDAN,TE,HOU,65.0,LAR,-0.35185185185183343,home,2500,13.1
JESSE JAMES,TE,CHI,65.0,SF,-0.9444444444444287,home,2500,12.8
GEOFF SWAIM,TE,TEN,65.0,IND,-0.6481481481481239,away,2500,12.3
JORDAN AKINS,TE,HOU,72.0,LAR,-0.35185185185183343,home,2500,10.3
TYLER KROFT,TE,NYJ,65.0,CIN,-2.4259259259259096,home,2500,10.0
ZACH GENTRY,TE,PIT,66.0,CLE,-1.5370370370370239,away,2500,6.9
ALBERT OKWUEGBUNAM,TE,DEN,74.0,WAS,3.2037037037037237,home,2500,6.4
GARRETT GRIFFIN,TE,NO,65.0,TB,-1.5370370370370239,home,2500,6.0
HARRISON BRYANT,TE,CLE,69.0,PIT,-0.9444444444444287,home,2500,5.3
MYCOLE PRUITT,TE,TEN,65.0,IND,-0.6481481481481239,away,2500,4.2
JOSIAH DEGUARA,TE,GB,66.0,ARI,-3.9074074074073906,away,2500,4.0
ADAM SHAHEEN,TE,MIA,65.0,BUF,-4.796296296296276,away,2500,1.8
RYAN GRIFFIN,TE,NYJ,65.0,CIN,-2.4259259259259096,home,2500,1.7
LUKE STOCKER,TE,MIN,65.0,DAL,1.1296296296296475,home,2500,1.7
CHARLIE WOERNER,TE,SF,67.0,CHI,-0.9444444444444287,away,2500,1.7
JOHN BATES,TE,WAS,65.0,DEN,-2.4259259259259096,away,2500,1.4
LUKE FARRELL,TE,JAX,68.0,SEA,2.0185185185185333,away,2500,1.3
