NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
KYLEN GRANSON,TE,IND,66.0,TEN,0.2407407407407618,home,2500,1.0
JEREMY SPRINKLE,TE,DAL,65.0,MIN,-0.055555555555542924,away,2500,0.0
TRE' MCKITTY,TE,LAC,65.0,NE,-1.2407407407407192,home,2500,0.0
RICHARD RODGERS,TE,PHI,65.0,DET,2.314814814814838,away,2500,0.0
CHRIS MANHERTZ,TE,JAX,69.0,SEA,2.0185185185185333,away,2500,0.0
ANDREW BECK,TE,DEN,65.0,WAS,3.2037037037037237,home,2500,0.0
ANTONY AUCLAIR,TE,HOU,65.0,LAR,-0.35185185185183343,home,2500,0.0
MARCEDES LEWIS,TE,GB,65.0,ARI,-3.9074074074073906,away,2500,0.0
JAMES WINCHESTER,TE,KC,65.0,NYG,1.1296296296296475,home,2500,0.0
CETHAN CARTER,TE,MIA,65.0,BUF,-4.796296296296276,away,2500,0.0
KYLE RUDOLPH,TE,NYG,65.0,KC,2.907407407407433,away,2500,9.2
