NAME,POS,TEAM,RTG,OPP,DEF_RTG,h/a,DK salary,DK points
DERRICK HENRY,RB,TEN,99.0,KC,2.47499999999998,home,9200,16.4
ALVIN KAMARA,RB,NO,85.0,SEA,2.741666666666646,away,8900,36.9
DAVANTE ADAMS,WR,GB,93.0,WAS,3.541666666666643,home,8900,19.6
TYREEK HILL,WR,KC,95.0,TEN,1.408333333333303,away,8600,12.7
KYLER MURRAY,QB,ARI,96.0,HOU,1.674999999999983,home,8500,22.44
PATRICK MAHOMES,QB,KC,99.0,TEN,1.408333333333303,away,8400,9.74
COOPER KUPP,WR,LAR,99.0,DET,1.9416666666666487,home,8400,40.6
TOM BRADY,QB,TB,96.0,CHI,-1.52500000000002,home,7700,24.44
DEANDRE HOPKINS,WR,ARI,86.0,HOU,1.674999999999983,home,7700,18.3
TRAVIS KELCE,TE,KC,99.0,TEN,1.408333333333303,away,7600,13.5
AARON RODGERS,QB,GB,89.0,WAS,3.541666666666643,home,7500,24.66
AARON JONES,RB,GB,86.0,WAS,3.541666666666643,home,7500,8.9
LAMAR JACKSON,QB,BAL,97.0,CIN,-2.325000000000017,home,7400,23.08
DEEBO SAMUEL,WR,SF,94.0,IND,-0.1916666666666913,home,7300,25.0
JONATHAN TAYLOR,RB,IND,87.0,SF,-0.9916666666666885,away,7100,22.0
DJ MOORE,WR,CAR,89.0,NYG,2.741666666666646,away,7100,13.3
MATTHEW STAFFORD,QB,LAR,94.0,DET,1.9416666666666487,home,7100,30.16
JALEN HURTS,QB,PHI,96.0,LV,-0.1916666666666913,away,6900,24.54
TERRY MCLAURIN,WR,WAS,86.0,GB,-0.9916666666666885,away,6900,28.2
DK METCALF,WR,SEA,88.0,NO,-1.52500000000002,home,6800,17.6
CALVIN RIDLEY,WR,ATL,83.0,MIA,3.0083333333333115,away,6600,12.6
DARRELL HENDERSON,RB,LAR,87.0,DET,1.9416666666666487,home,6600,9.4
JOE MIXON,RB,CIN,83.0,BAL,-0.7250000000000227,away,6500,11.9
MIKE EVANS,WR,TB,87.0,CHI,-1.52500000000002,home,6500,31.6
RYAN TANNEHILL,QB,TEN,86.0,KC,2.47499999999998,home,6400,20.4
LEONARD FOURNETTE,RB,TB,83.0,CHI,-1.52500000000002,home,6400,17.0
ROBERT WOODS,WR,LAR,83.0,DET,1.9416666666666487,home,6400,15.0
COURTLAND SUTTON,WR,DEN,86.0,CLE,-0.9916666666666885,away,6400,11.8
AJ BROWN,WR,TEN,76.0,KC,2.47499999999998,home,6300,30.3
CORDARRELLE PATTERSON,RB,ATL,87.0,MIA,3.0083333333333115,away,6300,14.1
JOE BURROW,QB,CIN,89.0,BAL,-0.7250000000000227,away,6200,30.64
TYLER LOCKETT,WR,SEA,84.0,NO,-1.52500000000002,home,6200,3.2
JOSH JACOBS,RB,LV,81.0,PHI,0.34166666666664014,home,6200,15.8
JA'MARR CHASE,WR,CIN,90.0,BAL,-0.7250000000000227,away,6200,37.1
CHUBA HUBBARD,RB,CAR,76.0,NYG,2.741666666666646,away,6100,9.6
JULIO JONES,WR,TEN,82.0,KC,2.47499999999998,home,6100,5.8
D'ANDRE SWIFT,RB,DET,85.0,LAR,-0.7250000000000227,away,6000,28.4
DEREK CARR,QB,LV,90.0,PHI,0.34166666666664014,home,6000,23.02
BRANDIN COOKS,WR,HOU,86.0,ARI,-2.591666666666697,away,6000,7.1
MARK ANDREWS,TE,BAL,97.0,CIN,-2.325000000000017,home,6000,7.8
SAM DARNOLD,QB,CAR,91.0,NYG,2.741666666666646,away,5900,3.44
JAMEIS WINSTON,QB,NO,87.0,SEA,2.741666666666646,away,5900,16.88
CHRIS GODWIN,WR,TB,85.0,CHI,-1.52500000000002,home,5900,28.1
ANTONIO GIBSON,RB,WAS,80.0,GB,-0.9916666666666885,away,5900,7.6
KYLE PITTS,TE,ATL,88.0,MIA,3.0083333333333115,away,5900,26.3
MARQUISE BROWN,WR,BAL,90.0,CIN,-2.325000000000017,home,5800,19.0
DARREL WILLIAMS,RB,KC,81.0,TEN,1.408333333333303,away,5800,8.0
JIMMY GAROPPOLO,QB,SF,84.0,IND,-0.1916666666666913,home,5700,8.24
MATT RYAN,QB,ATL,85.0,MIA,3.0083333333333115,away,5700,22.44
DAMIEN HARRIS,RB,NE,77.0,NYJ,-0.1916666666666913,home,5700,28.3
JAMES CONNER,RB,ARI,77.0,HOU,1.674999999999983,home,5600,12.4
TEDDY BRIDGEWATER,QB,DEN,85.0,CLE,-0.9916666666666885,away,5600,14.78
JAYLEN WADDLE,WR,MIA,83.0,ATL,1.408333333333303,home,5600,15.3
CHASE EDMONDS,RB,ARI,79.0,HOU,1.674999999999983,home,5600,10.0
TUA TAGOVAILOA,QB,MIA,82.0,ATL,1.408333333333303,home,5500,28.54
HENRY RUGGS,WR,LV,78.0,PHI,0.34166666666664014,home,5500,7.1
DEVONTAE BOOKER,RB,NYG,77.0,CAR,-2.8583333333333627,home,5500,14.6
DAMIEN WILLIAMS,RB,CHI,77.0,TB,-0.1916666666666913,away,5500,1.8
DEVONTA SMITH,WR,PHI,80.0,LV,-0.1916666666666913,away,5400,11.1
CARSON WENTZ,QB,IND,80.0,SF,-0.9916666666666885,away,5400,21.3
DANIEL JONES,QB,NYG,87.0,CAR,-2.8583333333333627,home,5400,17.52
MYLES GASKIN,RB,MIA,77.0,ATL,1.408333333333303,home,5300,17.7
JUSTIN FIELDS,QB,CHI,74.0,TB,-0.1916666666666913,away,5300,6.16
ALEX COLLINS,RB,SEA,77.0,NO,-1.52500000000002,home,5300,5.4
MAC JONES,QB,NE,82.0,NYJ,-0.1916666666666913,home,5300,25.18
CHRISTIAN KIRK,WR,ARI,83.0,HOU,1.674999999999983,home,5300,15.0
JAKOBI MEYERS,WR,NE,81.0,NYJ,-0.1916666666666913,home,5300,9.4
COREY DAVIS,WR,NYJ,83.0,NE,-0.7250000000000227,away,5200,14.7
MARQUEZ CALLAWAY,WR,NO,78.0,SEA,2.741666666666646,away,5200,6.2
MIKE DAVIS,RB,ATL,77.0,MIA,3.0083333333333115,away,5200,1.0
MELVIN GORDON,RB,DEN,77.0,CLE,-0.9916666666666885,away,5200,11.2
KHALIL HERBERT,RB,CHI,70.0,TB,-0.1916666666666913,away,5200,21.3
TAYLOR HEINICKE,QB,WAS,86.0,GB,-0.9916666666666885,away,5200,22.22
AJ GREEN,WR,ARI,78.0,HOU,1.674999999999983,home,5100,9.6
ZACH WILSON,QB,NYJ,79.0,NE,-0.7250000000000227,away,5100,2.04
ELIJAH MITCHELL,RB,SF,78.0,IND,-0.1916666666666913,home,5100,19.7
JAVONTE WILLIAMS,RB,DEN,76.0,CLE,-0.9916666666666885,away,5100,17.2
ALLEN ROBINSON,WR,CHI,75.0,TB,-0.1916666666666913,away,5100,3.6
MILES SANDERS,RB,PHI,76.0,LV,-0.1916666666666913,away,5100,3.7
TJ HOCKENSON,TE,DET,88.0,LAR,-0.7250000000000227,away,5100,10.8
MICHAEL PITTMAN,WR,IND,82.0,SF,-0.9916666666666885,away,5100,23.5
GENO SMITH,QB,SEA,78.0,NO,-1.52500000000002,home,5100,11.88
JD MCKISSIC,RB,WAS,73.0,GB,-0.9916666666666885,away,5000,9.6
CASE KEENUM,QB,CLE,65.0,DEN,-2.591666666666697,home,5000,12.66
JARED GOFF,QB,DET,84.0,LAR,-0.7250000000000227,away,5000,13.02
ODELL BECKHAM,WR,LAR,76.0,DET,1.9416666666666487,home,5000,4.3
NOAH FANT,TE,DEN,87.0,CLE,-0.9916666666666885,away,5000,8.9
KENYAN DRAKE,RB,LV,73.0,PHI,0.34166666666664014,home,4900,16.9
JAMISON CROWDER,WR,NYJ,82.0,NE,-0.7250000000000227,away,4900,7.4
TEE HIGGINS,WR,CIN,81.0,BAL,-0.7250000000000227,away,4900,13.2
DEMETRIC FELTON,RB,CLE,69.0,DEN,-2.591666666666697,home,4900,6.4
DAVIS MILLS,QB,HOU,78.0,ARI,-2.591666666666697,away,4900,4.4
