Your Name
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1675738004


Experiment #:,0
Rule:,0444131311323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.989217007921012,2.199687794731328,,
1,1,,0.968,0.8461538461538461,2.0871241013488935,2.2954656791802917,,
2,6,,0.8160000000000001,0.7692307692307692,2.2684736834778283,2.2954656791802917,,
3,7,,0.6719999999999999,0.6923076923076923,2.254668191135777,2.2577560641285177,,
4,5,,0.528,0.6153846153846154,1.881022711395144,2.1339375660949167,,
5,12,,0.52,0.5384615384615384,1.8223227448018444,1.8339272176418302,,
6,4,,0.4,0.46153846153846156,1.534170143388621,1.6691803368667308,,
7,8,,0.28,0.3846153846153846,1.211158255321,1.4885252948977485,,
8,3,,0.19999999999999996,0.3076923076923077,1.0176972020864026,1.3520301017579528,,
9,11,,0.17600000000000005,0.23076923076923073,0.9421972026028951,1.1451104143815827,,
10,10,,0.128,0.15384615384615385,0.6740951058310027,0.7732283485249176,,
11,2,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,,
12,9,,0.0,0.0,-0.0,-0.0,,


Experiment #:,25
Rule:,0214121223341
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8255500955260637,2.161978179679554,,
1,4,,0.872,0.8461538461538461,2.093135691667448,2.2577560641285177,,
2,11,,0.848,0.7692307692307692,2.0785421927197074,2.199687794731328,,
3,1,,0.8240000000000001,0.6923076923076923,2.1111290712932163,2.199687794731328,,
4,7,,0.6799999999999999,0.6153846153846154,2.1756015378231632,2.1339375660949167,,
5,12,,0.6719999999999999,0.5384615384615384,2.17026169409079,2.0458416408851736,,
6,10,,0.624,0.46153846153846156,2.0852590957837407,1.8810947601100747,,
7,5,,0.48,0.3846153846153846,1.9050464172773456,1.7004397181410922,,
8,8,,0.36,0.3076923076923077,1.4594705707972522,1.3520301017579528,,
9,3,,0.28,0.23076923076923073,1.0971245697587872,0.9912642605354288,,
10,9,,0.19999999999999996,0.15384615384615385,0.7219280948873623,0.6193821946787638,,
11,2,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,,
12,6,,0.0,0.0,-0.0,-0.0,,


Experiment #:,26
Rule:,0422123232131
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6476056535865555,2.075869296697727,,
1,1,,0.968,0.8461538461538461,1.6216447536038636,1.9220231428515733,,
2,7,,0.8240000000000001,0.7692307692307692,1.9323462289152604,1.9877733714879844,,
3,10,,0.776,0.6923076923076923,1.9132186561346862,1.95006375643621,,
4,11,,0.752,0.6153846153846154,1.919633777105721,1.8843135277997989,,
5,8,,0.632,0.5384615384615384,1.853708573029353,1.7381493331928661,,
6,3,,0.552,0.46153846153846156,1.822614404716763,1.6691803368667308,,
7,2,,0.504,0.3846153846153846,1.7779704301258685,1.5465935642949382,,
8,12,,0.496,0.3076923076923077,1.7618758471607787,1.3520301017579528,,
9,5,,0.352,0.23076923076923073,1.4772953816854142,1.1451104143815827,,
10,4,,0.23199999999999998,0.15384615384615385,0.9970938544738251,0.7732283485249176,,
11,9,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,,
12,6,,0.0,0.0,-0.0,-0.0,,


Experiment #:,27
Rule:,0114142312212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.987710527444441,2.038159681645953,,
1,2,,0.944,0.8461538461538461,2.153378905447493,2.161978179679554,,
2,10,,0.896,0.7692307692307692,2.237029707865387,2.199687794731328,,
3,4,,0.776,0.6923076923076923,2.296057009399711,2.199687794731328,,
4,8,,0.656,0.6153846153846154,2.120100563315309,2.133937566094917,,
5,7,,0.512,0.5384615384615384,1.6930050184098353,1.8339272176418302,,
6,1,,0.488,0.46153846153846156,1.6012439391578315,1.6691803368667308,,
7,3,,0.40800000000000003,0.3846153846153846,1.4736258490387035,1.4885252948977485,,
8,6,,0.256,0.3076923076923077,1.1577118465326288,1.3520301017579528,,
9,9,,0.17600000000000005,0.23076923076923073,0.8175995500381144,1.1451104143815827,,
10,5,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,,
11,11,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,,
12,12,,0.0,0.0,-0.0,-0.0,,


Experiment #:,28
Rule:,0133222442322
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6197250772327199,1.9877733714879842,,
1,8,,0.872,0.8461538461538461,1.8389759245356585,1.9877733714879842,,
2,1,,0.848,0.7692307692307692,1.743330042509541,1.7758589482446405,,
3,3,,0.768,0.6923076923076923,1.7026669984943026,1.7381493331928664,,
4,11,,0.744,0.6153846153846154,1.728609602941205,1.760495029766198,,
5,7,,0.6,0.5384615384615384,1.3515363272390082,1.4604846813131116,,
6,10,,0.552,0.46153846153846156,1.2274619981017072,1.2957378005380122,,
7,4,,0.43200000000000005,0.3846153846153846,1.2040241204718882,1.2389012566026305,,
8,6,,0.28,0.3076923076923077,1.0405202644005092,1.1401156785146092,,
9,5,,0.136,0.23076923076923073,0.7010533003181526,0.9912642605354288,,
10,12,,0.128,0.15384615384615385,0.6740951058310027,0.7732283485249176,,
11,2,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,,
12,9,,0.0,0.0,-0.0,-0.0,,


Experiment #:,29
Rule:,0234221343142
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0343774551199774,2.199687794731328,,
1,5,,0.848,0.8461538461538461,2.2850056872592965,2.295465679180292,,
2,3,,0.768,0.7692307692307692,2.280017380766335,2.295465679180292,,
3,11,,0.744,0.6923076923076923,2.2587113003706025,2.199687794731328,,
4,4,,0.624,0.6153846153846154,2.0318708741832356,2.133937566094917,,
5,2,,0.5760000000000001,0.5384615384615384,1.99870039995842,2.0458416408851736,,
6,8,,0.45599999999999996,0.46153846153846156,1.584585758526054,1.7272486062639207,,
7,9,,0.376,0.3846153846153846,1.4504528619294061,1.5465935642949382,,
8,10,,0.32799999999999996,0.3076923076923077,1.359992794303642,1.3520301017579528,,
9,6,,0.17600000000000005,0.23076923076923073,0.7916386500554222,0.9912642605354288,,
10,7,,0.03200000000000003,0.15384615384615385,0.2043246709802796,0.6193821946787638,,
11,1,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,,
12,12,,0.0,0.0,-0.0,-0.0,,
